열1,수익자1,수익자2,수익자3,부가설명,수익자1수탁고,수익자2수탁고,수익자3수탁고,2024YE수탁고
08L51,건강보험,,,뉴에이스6호 1종,,,,
08L52,한투밸류자산운용,,,뉴에이스6호 2종,,,,
08L58,카카오뱅크,NH농협은행,,,500.0,500.0,,
08L65,한국투자증권,,,,,,,
08M13,국토부(미래),,,,,,,
4JM90,예금보험기금,,,,,,,
4JM91,예금보험기금,,,,,,,
08M67,연기금풀(미래),,,,,,,
08M78,스마일게이트,,,,,,,
4JM94,KB라이프,,,,1000.0,,,
08M80,NH농협은행,우리은행,,,400.0,400.0,,
4JM95,우정사업본부,,,,1000.0,,,
08N21,국토부(미래),,,,170.0,,,
08N45,연기금풀(삼성),,,,2000.0,,,
08N52,아이엠뱅크,NH농협은행,,,300.0,300.0,,
5JM20,한화생명,,,,1285.0,,,
5JM19,삼성생명,,,,1150.0,,,
08N89,중소기업중앙회,,,,750.0,,,
08P24,부산은행,NH농협은행,,,293.0,293.0,,
08P36,국민은행,한투밸류자산운용,,,200.0,5.0,,
08P28,연기금풀(삼성),,,,36.0,,,
08P53,건강보험,,,,1000.0,,,
08P54,한투밸류자산운용,,,,50.0,,,
08P57,DB손해보험,,,,2000.0,,,
08P58,현대캐피탈,,,,1.0,,,
08P62,노동부(고용보험),,,,1000.0,,,
08P66,카카오뱅크,부산은행,,,500.0,500.0,,
08P67,연기금풀(미래),,,,300.0,,,
08P47,연기금풀(미래),,,,694.0,,,
4JM46,산림조합중앙회,,,채권SJ제1호,,,,
4JM47,산림조합중앙회,,,채권SJ제2호,,,,
5JM53,산림조합중앙회,,,,100.0,,,
5JM54,산림조합중앙회,,,,100.0,,,
5JM55,산림조합중앙회,,,,141.0,,,
5JM56,산림조합중앙회,,,,155.0,,,
08Q18,연기금풀(미래),,,,100.0,,,
5JM51,IBK연금보험,,,,207.0,,,
08N87,스마일게이트,,,,1007.0,,,
06W41,NH은행(퇴직),,,,,,,
06W42,신한은행(퇴직),,,,,,,
06W57,KB은행(퇴직),,,,,,,
08M61,건강보험,,,뉴에이스7호 1종,,,,
08M62,한투밸류자산운용,,,뉴에이스7호 2종,,,,
08M65,건설근로자공제회,,,,,,,
08N57,건강보험,,,뉴에이스8호 1종,,,,
08N58,한국투자저축은행,,,뉴에이스8호 2종,,,,
08P26,국민은행,,,,,,,
08P39,연기금풀(미래),,,,,,,
08P55,노동부(고용보험),,,,,,,
08Q13,신한은행,카카오뱅크,,뉴에이스10호 1종 500/500,500,500,,
08Q14,한투밸류자산운용,,,뉴에이스10호 2종,,,,
08Q68,,,,모펀드 - 클래스 08Q69/08Q70에 매핑(이중계상 방지),,,,
08Q69,건강보험,,,뉴에이스11호 1종 1000억,,,,
08Q70,한투밸류자산운용,,,뉴에이스11호 2종 50억,,,,
08Q58,삼성카드,한국투자저축은행,,300/1,300,1,,
5JM61,한국투자증권,,,크레딧채권운용부(PIMCO)_1호 일임,,,,
08Q80,연기금풀(미래),,,08M67과 동일한 미래연기금 수익자,,,,
08Q81,,,,모펀드 - 클래스 08Q82/08Q83에 매핑(이중계상 방지) 채권인컴손익차등 452.55억,,,,
08Q82,,,,채권인컴손익차등 1종 리테일(개인) 431.00억 - 사모 수익자 아님,,,,
08Q83,한투밸류자산운용,,,채권인컴손익차등 2종 21.55억,,,,
