																																																		
	Fixed Income  운용본부 수탁고 현황																																																	
 	FI운용1부 김현수								 		2026-07-14 00:00:00+00:00																																							
																																																		
	Fixed Income 부서별 수탁고										(설정액 기준/ 단위: 억원)																																							
	구분	2024YE	2025YE	2Q2026	6M2026	2026-07-14 00:00:00+00:00	NAV	2026목표	달성률	YTD	QTD	MTD																																						
	운용1팀	85562.6140191	113994.94309588001	128189.78735069997	128189.78735069997	137239.02443005	139487.90457238	25000.0	0.9297632533667993	23244.081334169983	9049.237079350016	9049.237079350016																																						
	펀드	28702.68569117999	23879.22314462	22917.799237239982	22917.799237239982	22140.84771705999	22337.5130419	15000.0	1.3315775972286652	-1738.3754275600077	-776.9515201799913	-776.9515201799913																																						
	일임	7876.087882840001	11433.365161639998	10422.28948636	10422.28948636	10416.698025540001	11011.30809432			-1016.6671360999972	-5.591460819998247	-5.591460819998247																																						
	MMF	32294.781827529994	59993.93980076001	72245.60384231	72245.60384231	82722.64632284999	84180.25107156			22728.706522089982	10477.042480539996	10477.042480539996																																						
	ETF	16689.05861755	18688.414988859997	22604.094784790002	22604.094784790002	21958.832364600003	21958.8323646	10000.0	0.32704173757400057	3270.417375740006	-645.2624201899998	-645.2624201899998																																						
	운용2팀	139132.25161587	163742.43703908997	149986.41739144002	149986.41739144002	150924.02552854	174220.07034492	23000.0	-0.5573222395891296	-12818.41151054998	937.6081370999746	937.6081370999746																																						
	펀드	66955.97312716	91245.17740029999	76360.77885284001	76360.77885284001	77806.1645454	77323.48344992	15000.0	-0.8697462316599985	-13439.012854899993	1445.385692559983	1445.385692559983																																						
	일임	72176.27848871	71236.81774974999	72138.22577108	72138.22577108	71629.63712975	95408.36304161			392.81938000001537	-508.58864133000316	-508.58864133000316																																						
	ETF	0.0	1260.44188904	1487.41276752	1487.41276752	1488.22385339	1488.22385339	8000.0	0.028472745543749994	227.78196434999995	0.8110858699999426	0.8110858699999426																																						
	해외FI운용팀	44620.87512142	72203.52903883	83521.86247209	83521.86247209	81540.42460964	81907.06668846	20000.0	0.4668447785404998	9336.895570809997	-1981.437862449995	-1981.437862449995																																						
	펀드	13415.124568469997	22458.89921371	26664.987980799997	26664.987980799997	27585.765447569996	27061.95279773	5000.0	1.2260123177839997	5126.866233859997	920.7774667699996	920.7774667699996																																						
	일임	2048.21516983	2036.7963876899998	2169.4267373000002	2169.4267373000002	2184.05228018	2334.19282587			147.25589248999995	14.625542879999557	14.625542879999557																																						
	MMF	4102.11171872	3867.28250516	5821.700153809999	5821.700153809999	4723.22196773	5463.5361507			855.9394625700002	-1098.4781860799994	-1098.4781860799994																																						
