3536					09G07		09G12	한국투자항셍테크스텝업분할매수목표전환증권투자신탁(채권-재간접형)(C-W)	09G07	09G07	09G12	X	X	X	09G07	
3537					09G42	한국투자미국스텝업분할매수목표전환증권투자신탁(채권-재간접형)(모)	09G43	한국투자미국스텝업분할매수목표전환증권투자신탁(채권-재간접형)(A)	09G42	09G42	09G43	X	X	X	09G42	
3538					09G42		09G44	한국투자미국스텝업분할매수목표전환증권투자신탁(채권-재간접형)(A-e)	09G42	09G42	09G44	X	X	X	09G42	
3539					09G42		09G47	한국투자미국스텝업분할매수목표전환증권투자신탁(채권-재간접형)(C-W)	09G42	09G42	09G47	X	X	X	09G42	
3540					09G55	한국투자미국테크스텝업분할매수증권투자신탁(혼합-재간접형)(모)	09G56	한국투자미국테크스텝업분할매수증권투자신탁(혼합-재간접형)(A)	09G55	09G55	09G56	X	X	X	09G55	
