HideDate	ShowDate																																								
6/30/2026	7/14/2026																																								
																																									
																																									
2. 수탁고-세부분류							2. 수탁고-세부분류												최종모펀드유무	O				최종모펀드유무	O				최종모펀드유무	O											
종류형구분	(다중 항목)						종류형구분	(다중 항목)											제외조건					제외조건					제외조건												
모자구분	(다중 항목)						모자구분	(다중 항목)											운용부서	FI운용본부				운용부서	FI운용본부				운용부서	FI운용본부											
제외조건							제외조건												팀분류	FI운용1부				팀분류	FI운용2부				팀분류	해외FI운용부											
운용부서	(다중 항목)						운용부서	FI운용본부																																	
																			합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블											
재간접파생							266.42328024	437.23198071	703.65526095										한국투자ACE머니마켓액티브증권상장지수투자신탁(채권)	4651.03870393	6895.87586513	=IF(T70="","",(V70-U70))		투자풀ESG일반사모증권투자신탁M-20호(채권)		99	=IF(Y70="","",(AA70-Z70))					=IF(AD70="","",(AF70-AE70))									
혼합자산								1483.99164229	1483.99164229										한국투자TMF26-12만기형증권투자신탁(채권)(모)	205.19964581	206.17916211	=IF(T71="","",(V71-U71))		연기금일반사모증권투자신탁제195-10호(채권)	2004.83269246		=IF(Y71="","",(AA71-Z71))					=IF(AD71="","",(AF71-AE71))									
총합계	113994.94309588	137239.02443005	251233.96752593	163742.43703909	150924.02552854	314666.46256763	72203.52903883	81540.42460964	153743.95364847										한국투자TMF28-12만기형증권투자신탁(채권)(모)	220.44913056	221.23419901	=IF(T72="","",(V72-U72))		삼성생명한투인덱스업VA케이인덱스30혼합형(채권)	603.39692873	594.05946427	=IF(Y72="","",(AA72-Z72))					=IF(AD72="","",(AF72-AE72))									
5. 펀드별 증감																			한국투자압축포트폴리오프리미어목표전환형증권투자2(주식)(모)	1.21558969		=IF(T73="","",(V73-U73))		삼성생명한투스마트VUL종신(3.0)채권형(채권)	1134.7075065	1023.79307729	=IF(Y73="","",(AA73-Z73))					=IF(AD73="","",(AF73-AE73))									
																			한국투자베이직일반사모증권투자신탁135호(USD)(채권)		588.52	=IF(T74="","",(V74-U74))		삼성생명한투스마트VUL종신(3.0)채권형(Sys)	1085.18894133	997.20878965	=IF(Y74="","",(AA74-Z74))					=IF(AD74="","",(AF74-AE74))									
상위 10		(단위: 억 원)			하위 10		(단위: 억 원)			소속									한국투자베이직일반사모증권투자신탁136호(채권-파생형)		403.93309513	=IF(T75="","",(V75-U75))		삼성생명한투스마트TOP변액연금(1.2)채권형(채권)	736.91773555	714.93770458	=IF(Y75="","",(AA75-Z75))					=IF(AD75="","",(AF75-AE75))									
		46022	=C61	증감			46022	=D76	증감										한국투자ACE단기채권알파액티브증권상장지수투자신탁(채권)	662.32895996	686.24980697	=IF(T76="","",(V76-U76))		삼성생명한투변액연금인덱스혼합형(채권)		1122.0040849	=IF(Y76="","",(AA76-Z76))					=IF(AD76="","",(AF76-AE76))									
=SUBSTITUTE(SUBSTITUTE(INDEX($T:$T,MATCH(LARGE(W:W,1),$W:$W,0)),"한국투자",""),"증권투자신탁","")		=INDEX($U:$U,MATCH(LARGE(W:W,1),$W:$W,0))	=INDEX(V:V,MATCH(LARGE(W:W,1),W:W,0))	=LARGE($W:$W,1)	=SUBSTITUTE(SUBSTITUTE(INDEX(T:T,MATCH(SMALL(W:W,1),W:W,0)),"한국투자",""),"증권투자신탁","")		=INDEX(U:U,MATCH(SMALL(W:W,1),W:W,0))	=INDEX(V:V,MATCH(SMALL(W:W,1),W:W,0))	=SMALL(W:W,1)	1부									한국투자베이직일반사모증권투자신탁140호(채권)		1000	=IF(T77="","",(V77-U77))		삼성생명한투변액연금(1.1)채권형(채권)	2140.37230745	2179.34315651	=IF(Y77="","",(AA77-Z77))					=IF(AD77="","",(AF77-AE77))									
=SUBSTITUTE(SUBSTITUTE(INDEX($T:$T,MATCH(LARGE(W:W,2),$W:$W,0)),"한국투자",""),"증권투자신탁","")		=INDEX($U:$U,MATCH(LARGE(W:W,2),$W:$W,0))	=INDEX(V:V,MATCH(LARGE(W:W,2),W:W,0))	=LARGE($W:$W,2)	=SUBSTITUTE(SUBSTITUTE(INDEX(T:T,MATCH(SMALL(W:W,2),W:W,0)),"한국투자",""),"증권투자신탁","")		=INDEX(U:U,MATCH(SMALL(W:W,2),W:W,0))	=INDEX(V:V,MATCH(SMALL(W:W,2),W:W,0))	=SMALL(W:W,2)										한국투자채권SJ제3호		100	=IF(T78="","",(V78-U78))		삼성생명한투변액연금(1.1)채권형(Sys)	2460.43535016	2460.43535016	=IF(Y78="","",(AA78-Z78))					=IF(AD78="","",(AF78-AE78))									
=SUBSTITUTE(SUBSTITUTE(INDEX($T:$T,MATCH(LARGE(W:W,3),$W:$W,0)),"한국투자",""),"증권투자신탁","")		=INDEX($U:$U,MATCH(LARGE(W:W,3),$W:$W,0))	=INDEX(V:V,MATCH(LARGE(W:W,3),W:W,0))	=LARGE($W:$W,3)	=SUBSTITUTE(SUBSTITUTE(INDEX(T:T,MATCH(SMALL(W:W,3),W:W,0)),"한국투자",""),"증권투자신탁","")		=INDEX(U:U,MATCH(SMALL(W:W,3),W:W,0))	=INDEX(V:V,MATCH(SMALL(W:W,3),W:W,0))	=SMALL(W:W,3)										한국투자채권SJ제4호		100	=IF(T79="","",(V79-U79))		삼성생명한투리더스변액연금인덱스주식혼합형(채권)	343.20514492	341.32955293	=IF(Y79="","",(AA79-Z79))					=IF(AD79="","",(AF79-AE79))									
=SUBSTITUTE(SUBSTITUTE(INDEX($T:$T,MATCH(LARGE(W:W,4),$W:$W,0)),"한국투자",""),"증권투자신탁","")		=INDEX($U:$U,MATCH(LARGE(W:W,4),$W:$W,0))	=INDEX(V:V,MATCH(LARGE(W:W,4),W:W,0))	=LARGE($W:$W,4)	=SUBSTITUTE(SUBSTITUTE(INDEX(T:T,MATCH(SMALL(W:W,4),W:W,0)),"한국투자",""),"증권투자신탁","")		=INDEX(U:U,MATCH(SMALL(W:W,4),W:W,0))	=INDEX(V:V,MATCH(SMALL(W:W,4),W:W,0))	=SMALL(W:W,4)										한국투자채권SJ제5호		141.06149896	=IF(T80="","",(V80-U80))		삼성생명한투리더스VUL종신채권형	1252.52368747	1218.59840671	=IF(Y80="","",(AA80-Z80))					=IF(AD80="","",(AF80-AE80))									
=SUBSTITUTE(SUBSTITUTE(INDEX($T:$T,MATCH(LARGE(W:W,5),$W:$W,0)),"한국투자",""),"증권투자신탁","")		=INDEX($U:$U,MATCH(LARGE(W:W,5),$W:$W,0))	=INDEX(V:V,MATCH(LARGE(W:W,5),W:W,0))	=LARGE($W:$W,5)	=SUBSTITUTE(SUBSTITUTE(INDEX(T:T,MATCH(SMALL(W:W,5),W:W,0)),"한국투자",""),"증권투자신탁","")		=INDEX(U:U,MATCH(SMALL(W:W,5),W:W,0))	=INDEX(V:V,MATCH(SMALL(W:W,5),W:W,0))	=SMALL(W:W,5)										한국투자채권SJ제6호		154.85615302	=IF(T81="","",(V81-U81))		삼성생명한투VUL혼합형(채권)	481.43201461	473.64392001	=IF(Y81="","",(AA81-Z81))					=IF(AD81="","",(AF81-AE81))									
=SUBSTITUTE(SUBSTITUTE(INDEX(Y:Y,MATCH(LARGE(AB:AB,1),AB:AB,0)),"한국투자",""),"증권투자신탁","")		=INDEX(Z:Z,MATCH(LARGE(AB:AB,1),AB:AB,0))	=INDEX(AA:AA,MATCH(LARGE(AB:AB,1),AB:AB,0))	=LARGE(AB:AB,1)	=SUBSTITUTE(SUBSTITUTE(INDEX(Y:Y,MATCH(SMALL(AB:AB,1),AB:AB,0)),"한국투자",""),"증권투자신탁","")		=INDEX(Z:Z,MATCH(SMALL(AB:AB,1),AB:AB,0))	=INDEX(AA:AA,MATCH(SMALL(AB:AB,1),AB:AB,0))	=SMALL(AB:AB,1)	2부									무배당KB퇴직연금실적배당보험 채권형(A)	12.49645235	7.85706272	=IF(T82="","",(V82-U82))		라이나한투ESP	5210.24032638	5377.59691246	=IF(Y82="","",(AA82-Z82))					=IF(AD82="","",(AF82-AE82))									
=SUBSTITUTE(SUBSTITUTE(INDEX(Y:Y,MATCH(LARGE(AB:AB,2),AB:AB,0)),"한국투자",""),"증권투자신탁","")		=INDEX(Z:Z,MATCH(LARGE(AB:AB,2),AB:AB,0))	=INDEX(AA:AA,MATCH(LARGE(AB:AB,2),AB:AB,0))	=LARGE(AB:AB,2)	=SUBSTITUTE(SUBSTITUTE(INDEX(Y:Y,MATCH(SMALL(AB:AB,2),AB:AB,0)),"한국투자",""),"증권투자신탁","")		=INDEX(Z:Z,MATCH(SMALL(AB:AB,2),AB:AB,0))	=INDEX(AA:AA,MATCH(SMALL(AB:AB,2),AB:AB,0))	=SMALL(AB:AB,2)										무배당KB퇴직연금실적배당보험 채권형(B)	1.30077174	0.67942241	=IF(T83="","",(V83-U83))		교보생명변액연금보험II_채권(한국투신)	2087.36336051	2047.58770972	=IF(Y83="","",(AA83-Z83))					=IF(AD83="","",(AF83-AE83))									
=SUBSTITUTE(SUBSTITUTE(INDEX(Y:Y,MATCH(LARGE(AB:AB,3),AB:AB,0)),"한국투자",""),"증권투자신탁","")		=INDEX(Z:Z,MATCH(LARGE(AB:AB,3),AB:AB,0))	=INDEX(AA:AA,MATCH(LARGE(AB:AB,3),AB:AB,0))	=LARGE(AB:AB,3)	=SUBSTITUTE(SUBSTITUTE(INDEX(Y:Y,MATCH(SMALL(AB:AB,3),AB:AB,0)),"한국투자",""),"증권투자신탁","")		=INDEX(Z:Z,MATCH(SMALL(AB:AB,3),AB:AB,0))	=INDEX(AA:AA,MATCH(SMALL(AB:AB,3),AB:AB,0))	=SMALL(AB:AB,3)										삼성화재퇴직연금MMF재간접형(C)	45.01123796	41.20146218	=IF(T84="","",(V84-U84))		교보생명VUL종신보험채권형_(채권_한투_일반)	896.8464134	865.62661561	=IF(Y84="","",(AA84-Z84))					=IF(AD84="","",(AF84-AE84))									
=SUBSTITUTE(SUBSTITUTE(INDEX(Y:Y,MATCH(LARGE(AB:AB,4),AB:AB,0)),"한국투자",""),"증권투자신탁","")		=INDEX(Z:Z,MATCH(LARGE(AB:AB,4),AB:AB,0))	=INDEX(AA:AA,MATCH(LARGE(AB:AB,4),AB:AB,0))	=LARGE(AB:AB,4)	=SUBSTITUTE(SUBSTITUTE(INDEX(Y:Y,MATCH(SMALL(AB:AB,4),AB:AB,0)),"한국투자",""),"증권투자신탁","")		=INDEX(Z:Z,MATCH(SMALL(AB:AB,4),AB:AB,0))	=INDEX(AA:AA,MATCH(SMALL(AB:AB,4),AB:AB,0))	=SMALL(AB:AB,4)										프로미퇴직연금실적배당채권형2호(A)	4.87121745	3.54013192	=IF(T85="","",(V85-U85))		교보생명 변액연금보험II 글로벌인덱스혼합형_채권	568.85980524	551.25128994	=IF(Y85="","",(AA85-Z85))					=IF(AD85="","",(AF85-AE85))									
=SUBSTITUTE(SUBSTITUTE(INDEX(Y:Y,MATCH(LARGE(AB:AB,5),AB:AB,0)),"한국투자",""),"증권투자신탁","")		=INDEX(Z:Z,MATCH(LARGE(AB:AB,5),AB:AB,0))	=INDEX(AA:AA,MATCH(LARGE(AB:AB,5),AB:AB,0))	=LARGE(AB:AB,5)	=SUBSTITUTE(SUBSTITUTE(INDEX(Y:Y,MATCH(SMALL(AB:AB,5),AB:AB,0)),"한국투자",""),"증권투자신탁","")		=INDEX(Z:Z,MATCH(SMALL(AB:AB,5),AB:AB,0))	=INDEX(AA:AA,MATCH(SMALL(AB:AB,5),AB:AB,0))	=SMALL(AB:AB,5)										무배당KB퇴직연금실적배당보험 배당주안정형1호(A)	29.01132461	28.95463168	=IF(T86="","",(V86-U86))		교보생명 VUL종신보험혼합형_채권	2320.46071725	3553.01905945	=IF(Y86="","",(AA86-Z86))					=IF(AD86="","",(AF86-AE86))									
=SUBSTITUTE(SUBSTITUTE(INDEX(AD:AD,MATCH(LARGE(AG:AG,1),AG:AG,0)),"한국투자",""),"증권투자신탁","")		=INDEX(AE:AE,MATCH(LARGE(AG:AG,1),AG:AG,0))	=INDEX(AF:AF,MATCH(LARGE(AG:AG,1),AG:AG,0))	=LARGE(AG:AG,1)	=SUBSTITUTE(SUBSTITUTE(INDEX(AD:AD,MATCH(SMALL(AG:AG,1),AG:AG,0)),"한국투자",""),"증권투자신탁","")		=INDEX(AE:AE,MATCH(SMALL(AG:AG,1),AG:AG,0))	=INDEX(AF:AF,MATCH(SMALL(AG:AG,1),AG:AG,0))	=SMALL(AG:AG,1)	해외									무배당KB퇴직연금실적배당보험 배당주안정형1호(B)	1.20090178	0.68884586	=IF(T87="","",(V87-U87))		교보국내채권1호	1942.06917048	1335.04079542	=IF(Y87="","",(AA87-Z87))					=IF(AD87="","",(AF87-AE87))									
=SUBSTITUTE(SUBSTITUTE(INDEX(AD:AD,MATCH(LARGE(AG:AG,2),AG:AG,0)),"한국투자",""),"증권투자신탁","")		=INDEX(AE:AE,MATCH(LARGE(AG:AG,2),AG:AG,0))	=INDEX(AF:AF,MATCH(LARGE(AG:AG,2),AG:AG,0))	=LARGE(AG:AG,2)	=SUBSTITUTE(SUBSTITUTE(INDEX(AD:AD,MATCH(SMALL(AG:AG,2),AG:AG,0)),"한국투자",""),"증권투자신탁","")		=INDEX(AE:AE,MATCH(SMALL(AG:AG,2),AG:AG,0))	=INDEX(AF:AF,MATCH(SMALL(AG:AG,2),AG:AG,0))	=SMALL(AG:AG,2)										한국투자TMF26-12만기형증권투자신탁(채권)(C-F)	10	10	=IF(T88="","",(V88-U88))		SVUL&NVA채권형_채권3	953.7782912	932.19498692	=IF(Y88="","",(AA88-Z88))					=IF(AD88="","",(AF88-AE88))									
=SUBSTITUTE(SUBSTITUTE(INDEX(AD:AD,MATCH(LARGE(AG:AG,3),AG:AG,0)),"한국투자",""),"증권투자신탁","")		=INDEX(AE:AE,MATCH(LARGE(AG:AG,3),AG:AG,0))	=INDEX(AF:AF,MATCH(LARGE(AG:AG,3),AG:AG,0))	=LARGE(AG:AG,3)	=SUBSTITUTE(SUBSTITUTE(INDEX(AD:AD,MATCH(SMALL(AG:AG,3),AG:AG,0)),"한국투자",""),"증권투자신탁","")		=INDEX(AE:AE,MATCH(SMALL(AG:AG,3),AG:AG,0))	=INDEX(AF:AF,MATCH(SMALL(AG:AG,3),AG:AG,0))	=SMALL(AG:AG,3)										한국투자TMF28-12만기형증권투자신탁(채권)(C-F)	10	10	=IF(T89="","",(V89-U89))					=IF(Y89="","",(AA89-Z89))														
=SUBSTITUTE(SUBSTITUTE(INDEX(AD:AD,MATCH(LARGE(AG:AG,4),AG:AG,0)),"한국투자",""),"증권투자신탁","")		=INDEX(AE:AE,MATCH(LARGE(AG:AG,4),AG:AG,0))	=INDEX(AF:AF,MATCH(LARGE(AG:AG,4),AG:AG,0))	=LARGE(AG:AG,4)	=SUBSTITUTE(SUBSTITUTE(INDEX(AD:AD,MATCH(SMALL(AG:AG,4),AG:AG,0)),"한국투자",""),"증권투자신탁","")		=INDEX(AE:AE,MATCH(SMALL(AG:AG,4),AG:AG,0))	=INDEX(AF:AF,MATCH(SMALL(AG:AG,4),AG:AG,0))	=SMALL(AG:AG,4)										한국투자TMF26-12만기형증권투자신탁(채권)(C-W)	195	195	=IF(T90="","",(V90-U90))					=IF(Y90="","",(AA90-Z90))														
=SUBSTITUTE(SUBSTITUTE(INDEX(AD:AD,MATCH(LARGE(AG:AG,5),AG:AG,0)),"한국투자",""),"증권투자신탁","")		=INDEX(AE:AE,MATCH(LARGE(AG:AG,5),AG:AG,0))	=INDEX(AF:AF,MATCH(LARGE(AG:AG,5),AG:AG,0))	=LARGE(AG:AG,5)	=SUBSTITUTE(SUBSTITUTE(INDEX(AD:AD,MATCH(SMALL(AG:AG,5),AG:AG,0)),"한국투자",""),"증권투자신탁","")		=INDEX(AE:AE,MATCH(SMALL(AG:AG,5),AG:AG,0))	=INDEX(AF:AF,MATCH(SMALL(AG:AG,5),AG:AG,0))	=SMALL(AG:AG,5)										한국투자TMF28-12만기형증권투자신탁(채권)(C-W)	209.98336847	209.98336847	=IF(T91="","",(V91-U91))					=IF(Y91="","",(AA91-Z91))														
																			한국투자TMF26-12만기형증권투자신탁(채권)(C-Re)	0.2	0.21233203	=IF(T92="","",(V92-U92))					=IF(Y92="","",(AA92-Z92))														
																			한국투자TMF28-12만기형증권투자신탁(채권)(C-Re)	0.46699481	1.04736494	=IF(T93="","",(V93-U93))																			
2. 수탁고-세부분류							2. 수탁고-세부분류												한국투자TMF26-12만기형증권투자신탁(채권)(C-P)		0.86	=IF(T94="","",(V94-U94))																			
종류형구분	(모두)						종류형구분	(모두)											한국투자TMF28-12만기형증권투자신탁(채권)(C-Pe)		0.30035743	=IF(T95="","",(V95-U95))																			
모자구분	(다중 항목)						모자구분	(다중 항목)											한국투자TMF26-12만기형증권투자신탁(채권)(C-Pe)		0.20150004	=IF(T96="","",(V96-U96))																			
제외조건							제외조건												한국투자베이직일반사모증권투자신탁141호(채권)		301	=IF(T97="","",(V97-U97))																			
운용부서	(다중 항목)						운용부서	(다중 항목)														=IF(T98="","",(V98-U98))																			
																						=IF(T99="","",(V99-U99))																			
합계 : 수익자수탁고	열 레이블						합계 : 수익자수탁고	열 레이블							DB생명	17.38326166	17.50237062	0.119108960000002				=IF(T100="","",(V100-U100))																			
행 레이블	46022	46217					행 레이블	46022	46217						DB손해보험	9.58595578	2008.92051365	1999.33455787				=IF(T101="","",(V101-U101))																			
DB생명	17.38326166	17.50237062	=A102	=B102	=C102	=F102-E102	NH농협은행	1592.64	1594.26	=H102	=I102	=J102	=M102-L102		KB라이프	3854.74171655	4357.26540789	502.523691339999				=IF(T102="","",(V102-U102))																			
DB손해보험	9.58595578	2008.92051365	=A103	=B103	=C103	=F103-E103	경남은행	500	500	=H103	=I103	=J103	=M103-L103		KB손해보험	40.43301511	35.05095814	-5.38205697				=IF(T103="","",(V103-U103))																			
KB라이프	3854.74171655	4357.26540789	=A104	=B104	=C104	=F104-E104	우리은행	1400	900	=H104	=I104	=J104	=M104-L104		NH성과보상기금	1847.9860023	1958.9230278	110.9370255				=IF(T104="","",(V104-U104))																			
KB손해보험	40.43301511	35.05095814	=A105	=B105	=C105	=F105-E105	한국밸류자산운용	1674.662634825	1529.25446086	=H105	=I105	=J105	=M105-L105		건강보험	1564.6271096	1524.252684595	-40.3744250049999				=IF(T105="","",(V105-U105))																			
NH성과보상기금	1847.9860023	1958.9230278	=A106	=B106	=C106	=F106-E106	광주은행	500	500	=H106	=I106	=J106	=M106-L106		건설근로자공제회	3327.87953813	2357.95293853	-969.9265996				=IF(T106="","",(V106-U106))																			
건강보험	1564.6271096	1524.252684595	=A107	=B107	=C107	=F107-E107	부산은행		500	=H107	=I107	=J107	=M107-L107		공무원연금	1926.44414032	1926.44414032	0				=IF(T107="","",(V107-U107))																			
건설근로자공제회	3327.87953813	2357.95293853	=A108	=B108	=C108	=F108-E108	카카오뱅크		525	=H108	=I108	=J108	=M108-L108		교보생명	7815.59946688	8352.52547014	536.92600326				=IF(T108="","",(V108-U108))																			
공무원연금	1926.44414032	1926.44414032	=A109	=B109	=C109	=F109-E109	총합계	5667.302634825	6048.51446086						국민연금	28921.84109593	28342.80546268	-579.035633249998				=IF(T109="","",(V109-U109))																			
교보생명	7815.59946688	8352.52547014	=A110	=B110	=C110	=F110-E110									국토부(NH)	6148.24931887	7930.93675982	1782.68744095				=IF(T110="","",(V110-U110))					=IF(Y110="","",(AA110-Z110))					=IF(AD110="","",(AF110-AE110))									
국민연금	28921.84109593	28342.80546268	=A111	=B111	=C111	=F111-E111									국토부(미래)	6597.23103398	4987.67710451	-1609.55392947				=IF(T111="","",(V111-U111))					=IF(Y111="","",(AA111-Z111))					=IF(AD111="","",(AF111-AE111))									
국토부(NH)	6148.24931887	7930.93675982	=A112	=B112	=C112	=F112-E112									기업은행	251.61911397	312.71742423	61.09831026				=IF(T112="","",(V112-U112))					=IF(Y112="","",(AA112-Z112))					=IF(AD112="","",(AF112-AE112))									
국토부(미래)	6597.23103398	4987.67710451	=A113	=B113	=C113	=F113-E113									노동부(고용보험)	6206.33983178	7626.09082591	1419.75099413				=IF(T113="","",(V113-U113))					=IF(Y113="","",(AA113-Z113))					=IF(AD113="","",(AF113-AE113))									
기업은행	251.61911397	312.71742423	=A114	=B114	=C114	=F114-E114									노동부(산재)	16415.22470173	18562.17681316	2146.95211143				=IF(T114="","",(V114-U114))					=IF(Y114="","",(AA114-Z114))					=IF(AD114="","",(AF114-AE114))									
노동부(고용보험)	6206.33983178	7626.09082591	=A115	=B115	=C115	=F115-E115									라이나생명	5210.24032638	5377.59691246	167.35658608				=IF(T115="","",(V115-U115))					=IF(Y115="","",(AA115-Z115))					=IF(AD115="","",(AF115-AE115))									
노동부(산재)	16415.22470173	18562.17681316	=A116	=B116	=C116	=F116-E116									방폐기금(신한)	1179.30829002	1781.30132158	601.99303156				=IF(T116="","",(V116-U116))					=IF(Y116="","",(AA116-Z116))					=IF(AD116="","",(AF116-AE116))									
라이나생명	5210.24032638	5377.59691246	=A117	=B117	=C117	=F117-E117									삼성생명	10320.06233126	11125.35350701	805.291175750001				=IF(T117="","",(V117-U117))					=IF(Y117="","",(AA117-Z117))					=IF(AD117="","",(AF117-AE117))									
방폐기금(신한)	1179.30829002	1781.30132158	=A118	=B118	=C118	=F118-E118									삼성화재	88.79931298	81.23640578	-7.5629072				=IF(T118="","",(V118-U118))					=IF(Y118="","",(AA118-Z118))					=IF(AD118="","",(AF118-AE118))									
삼성생명	10320.06233126	11125.35350701	=A119	=B119	=C119	=F119-E119									신한은행	500	1025	525				=IF(T119="","",(V119-U119))					=IF(Y119="","",(AA119-Z119))					=IF(AD119="","",(AF119-AE119))									
삼성화재	88.79931298	81.23640578	=A120	=B120	=C120	=F120-E120									신협중앙회	1000	1000	0				=IF(T120="","",(V120-U120))					=IF(Y120="","",(AA120-Z120))					=IF(AD120="","",(AF120-AE120))									
신한은행	500	1025	=A121	=B121	=C121	=F121-E121									연기금풀(미래)	30379.74830837	33115.67474207	2735.9264337				=IF(T121="","",(V121-U121))					=IF(Y121="","",(AA121-Z121))					=IF(AD121="","",(AF121-AE121))									
신협중앙회	1000	1000	=A122	=B122	=C122	=F122-E122									연기금풀(삼성)	6098.10654869	4009.13148461	-2088.97506408				=IF(T122="","",(V122-U122))					=IF(Y122="","",(AA122-Z122))					=IF(AD122="","",(AF122-AE122))									
연기금풀(미래)	30379.74830837	33115.67474207	=A123	=B123	=C123	=F123-E123									우정사업본부	9518.65601082	9518.65601082	0				=IF(T123="","",(V123-U123))					=IF(Y123="","",(AA123-Z123))					=IF(AD123="","",(AF123-AE123))									
연기금풀(삼성)	6098.10654869	4009.13148461	=A124	=B124	=C124	=F124-E124									중퇴기금(미래)	266.42328024	437.23198071	170.80870047				=IF(T124="","",(V124-U124))					=IF(Y124="","",(AA124-Z124))					=IF(AD124="","",(AF124-AE124))									
우정사업본부	9518.65601082	9518.65601082	=A125	=B125	=C125	=F125-E125									중퇴기금(삼성)	703.74888507	829.97197115	126.22308608				=IF(T125="","",(V125-U125))					=IF(Y125="","",(AA125-Z125))					=IF(AD125="","",(AF125-AE125))									
중퇴기금(미래)	266.42328024	437.23198071	=A126	=B126	=C126	=F126-E126									채권시장안정펀드	9922.84379027	12088.02580148	2165.18201121				=IF(T126="","",(V126-U126))					=IF(Y126="","",(AA126-Z126))					=IF(AD126="","",(AF126-AE126))									
중퇴기금(삼성)	703.74888507	829.97197115	=A127	=B127	=C127	=F127-E127									카카오뱅크	2000	2000	0				=IF(T127="","",(V127-U127))					=IF(Y127="","",(AA127-Z127))					=IF(AD127="","",(AF127-AE127))									
채권시장안정펀드	9922.84379027	12088.02580148	=A128	=B128	=C128	=F128-E128	종류형구분	(다중 항목)							키움증권	500	500	0				=IF(T128="","",(V128-U128))					=IF(Y128="","",(AA128-Z128))					=IF(AD128="","",(AF128-AE128))									
카카오뱅크	2000	2000	=A129	=B129	=C129	=F129-E129	모자구분	(다중 항목)							푸본현대생명	775.47349407	11.30882197	-764.1646721				=IF(T129="","",(V129-U129))					=IF(Y129="","",(AA129-Z129))					=IF(AD129="","",(AF129-AE129))									
키움증권	500	500	=A130	=B130	=C130	=F130-E130	제외조건								한화생명	7250.52356661	7063.43979499	-187.08377162				=IF(T130="","",(V130-U130))					=IF(Y130="","",(AA130-Z130))					=IF(AD130="","",(AF130-AE130))									
푸본현대생명	775.47349407	11.30882197	=A131	=B131	=C131	=F131-E131	운용부서	FI운용본부	1000						현대카드	1000	900	-100				=IF(T131="","",(V131-U131))					=IF(Y131="","",(AA131-Z131))					=IF(AD131="","",(AF131-AE131))									
한화생명	7250.52356661	7063.43979499	=A132	=B132	=C132	=F132-E132			550						현대캐피탈	1000	1001	1				=IF(T132="","",(V132-U132))					=IF(Y132="","",(AA132-Z132))					=IF(AD132="","",(AF132-AE132))									
현대카드	1000	900	=A133	=B133	=C133	=F133-E133	합계 : 수익자수탁고	열 레이블	350						현대커머셜	600	450	-150				=IF(T133="","",(V133-U133))					=IF(Y133="","",(AA133-Z133))					=IF(AD133="","",(AF133-AE133))									
현대캐피탈	1000	1001	=A134	=B134	=C134	=F134-E134	행 레이블	45657							국민은행	44.00945048	38.17996267	-5.82948781				=IF(T134="","",(V134-U134))					=IF(Y134="","",(AA134-Z134))					=IF(AD134="","",(AF134-AE134))									
현대커머셜	600	450	=A135	=B135	=C135	=F135-E135	부산은행	222.833333333333							KDB생명	1322.95486861	1195.51788197	-127.43698664				=IF(T135="","",(V135-U135))					=IF(Y135="","",(AA135-Z135))					=IF(AD135="","",(AF135-AE135))									
국민은행	44.00945048	38.17996267	=A136	=B136	=C136	=F136-E136	총합계	222.833333333333							ABL생명	301.38315499	301.38315499	0				=IF(T136="","",(V136-U136))					=IF(Y136="","",(AA136-Z136))					=IF(AD136="","",(AF136-AE136))									
KDB생명	1322.95486861	1195.51788197	=A137	=B137	=C137	=F137-E137									한국투자증권	2440.054355945	2000.758385475	-439.29597047				=IF(T137="","",(V137-U137))					=IF(Y137="","",(AA137-Z137))					=IF(AD137="","",(AF137-AE137))									
ABL생명	301.38315499	301.38315499	=A138	=B138	=C138	=F138-E138									중소기업중앙회	1220.58483386	1483.99164229	263.40680843				=IF(T138="","",(V138-U138))					=IF(Y138="","",(AA138-Z138))					=IF(AD138="","",(AF138-AE138))									
한국투자증권	2440.054355945	2000.758385475	=A139	=B139	=C139	=F139-E139									부산은행	292.64	294.26	1.62				=IF(T139="","",(V139-U139))					=IF(Y139="","",(AA139-Z139))					=IF(AD139="","",(AF139-AE139))									
중소기업중앙회	1220.58483386	1483.99164229	=A140	=B140	=C140	=F140-E140									NH농협은행	400	400	0				=IF(T140="","",(V140-U140))					=IF(Y140="","",(AA140-Z140))					=IF(AD140="","",(AF140-AE140))									
부산은행	292.64	294.26	=A141	=B141	=C141	=F141-E141									예금보험기금	4326.16484514	3170.23491936	-1155.92992578				=IF(T141="","",(V141-U141))					=IF(Y141="","",(AA141-Z141))					=IF(AD141="","",(AF141-AE141))									
NH농협은행	400	400	=A142	=B142	=C142	=F142-E142									스마일게이트	0	1076.453	1076.453				=IF(T142="","",(V142-U142))					=IF(Y142="","",(AA142-Z142))					=IF(AD142="","",(AF142-AE142))									
예금보험기금	4326.16484514	3170.23491936	=A143	=B143	=C143	=F143-E143									아이엠뱅크	300	300	0				=IF(T143="","",(V143-U143))					=IF(Y143="","",(AA143-Z143))					=IF(AD143="","",(AF143-AE143))									
스마일게이트		1076.453	=A144	=B144	=C144	=F144-E144									한투밸류자산운용	0	50	50				=IF(T144="","",(V144-U144))					=IF(Y144="","",(AA144-Z144))					=IF(AD144="","",(AF144-AE144))									
