HideDate	ShowDate																																								
6/30/2026	7/14/2026																																								
																																									
																																									
2. 수탁고-세부분류							2. 수탁고-세부분류												최종모펀드유무	O				최종모펀드유무	O				최종모펀드유무	O											
종류형구분	(다중 항목)						종류형구분	(다중 항목)											제외조건					제외조건					제외조건												
모자구분	(다중 항목)						모자구분	(다중 항목)											운용부서	FI운용본부				운용부서	FI운용본부				운용부서	FI운용본부											
제외조건							제외조건												팀분류	FI운용1부				팀분류	FI운용2부				팀분류	해외FI운용부											
운용부서	(다중 항목)						운용부서	FI운용본부																																	
																			합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블											
MMF	4102.11171872	3867.28250516	6080.44357555	5821.70015381	4723.22196773		MMF	546353615070											한국투자SH베이직일반사모증권투자신탁1호(채권-재간접형)	17.25329012	17.83044504	=IF(T25="","",(V25-U25))		한국투자시스템알파증권투자신탁(채권-파생형)(모)	2380.06254418	2378.228354	=IF(Y25="","",(AA25-Z25))		푸본현대변액글로벌채권형	11.08627117	11.30882197	=IF(AD25="","",(AF25-AE25))									
ETF	25055.4236644	43840.55093227	47457.45627339	48865.74760018	47047.38491416		ETF	4704738491416											한국투자마스터증권모투자신탁(국공채)	58.40484818	59.7335805	=IF(T26="","",(V26-U26))		한국투자베이직전문투자형사모증권투자신탁71호(채권)	3869.15740723	4476.65344054	=IF(Y26="","",(AA26-Z26))		한국투자ACE미국30년국채액티브증권상장지수투자신탁(H)	21997.36072677	15495.32537279	=IF(AD26="","",(AF26-AE26))									
총합계	269315.74075639	349940.9091738	379740.35192224	361698.06721423	369703.47456823		총합계	39561504160576											한국투자베이직일반사모증권투자신탁121호(채권)	1000	1000	=IF(T27="","",(V27-U27))		한국투자베이직전문투자형사모증권투자신탁69호(채권)	6065.66442142	6580.6033649	=IF(Y27="","",(AA27-Z27))		한국글로벌채권EMP일임	1926.44414032	1926.44414032	=IF(AD27="","",(AF27-AE27))									
																			한국투자스마트코리아증권모투자신탁(채권)	468.13806258	440.19866258	=IF(T28="","",(V28-U28))		한국투자베이직전문투자형사모증권투자신탁67호(채권)	4879.48378026	5120.88866321	=IF(Y28="","",(AA28-Z28))		한국투자ACE미국하이일드액티브증권상장지수투자신탁(채권-재간	380.90829889	625.96804558	=IF(AD28="","",(AF28-AE28))									
																			한국투자신종개인연금증권전환형1(채권)	206.4683219	221.02971025	=IF(T29="","",(V29-U29))		한국투자베이직전문투자형사모증권투자신탁105호(채권)	300		=IF(Y29="","",(AA29-Z29))		한국투자베이직일반사모증권투자신탁119호(채권-재간접형)	266.42328024	437.23198071	=IF(AD29="","",(AF29-AE29))									
구분	=B12	=C12	=D12	=E12	=F12	NAV	2026목표	달성률	YTD	QTD	MTD								한국투자퇴직연금국공채알파일반사모증권투자신탁1호(채권	5.89058514	6.0965967	=IF(T30="","",(V30-U30))		한국투자베이직전문투자형사모증권투자신탁101호(채권)	300		=IF(Y30="","",(AA30-Z30))		투자풀글로벌ETF일반사모증권투자신탁제1-3호(채권-재간접형)	96.84563553	144.1873957	=IF(AD30="","",(AF30-AE30))									
운용1팀	=B13	=C13	=D13	=E13	=F13	=I13/100000000	=SUM(H32:H35)	=IF(H31="","",J31/H31)	=$F31-C31	=$F31-D31	=F31-E31								현대캐피탈한투_단기채권형3호	1000	1000	=IF(T31="","",(V31-U31))		한국투자베이직전문투자사모108호(채권)	200		=IF(Y31="","",(AA31-Z31))		글로벌금리연계안정형	17.38326166	17.50237062	=IF(AD31="","",(AF31-AE31))									
펀드	=B14	=C14	=D14	=E14	=F14	=I14/100000000	15000	=SUM(J32:J34)/H32	=$F32-C32	=$F32-D32	=F32-E32								한국채권상대가치201902	3937.35127304	3858.00543624	=IF(T32="","",(V32-U32))		한국투자베이직전문투자사모107호(채권)	200		=IF(Y32="","",(AA32-Z32))		연기금일반사모증권투자신탁2-B3호[채권-재간접형]	3086.13936974	3916.13462717	=IF(AD32="","",(AF32-AE32))									
일임	=B15	=C15	=D15	=E15	=F15	=I15/100000000		=IF(H33="","",J33/H33)	=$F33-C33	=$F33-D33	=F33-E33								한국투자채안회사채전문투자형사모증권투자신탁1호(채권)	9922.84379027	12088.02580148	=IF(T33="","",(V33-U33))		한국투자베이직일반사모증권투자신탁139호(채권)		1000	=IF(Y33="","",(AA33-Z33))		한국투자ACE미국30년국채액티브증권상장지수투자신탁(채권)	3406.49877101	3107.1393234	=IF(AD33="","",(AF33-AE33))									
MMF	=B16	=C16	=D16	=E16	=F16	=I16/100000000		=IF(H34="","",J34/H34)	=$F34-C34	=$F34-D34	=F34-E34								한국투자DB베이직일반사모증권투자신탁1호(채권-재간접형)	165.05424993	179.48295369	=IF(T34="","",(V34-U34))		한국투자베이직일반사모증권투자신탁137호(채권)		2002.63267774	=IF(Y34="","",(AA34-Z34))		한국투자ACE미국30년국채엔화노출액티브증권상장지수투자신탁[	962.12684154	630.31277704	=IF(AD34="","",(AF34-AE34))									
ETF	=B17	=C17	=D17	=E17	=F17	=I17/100000000	10000	=IF(H35="","",J35/H35)	=$F35-C35	=$F35-D35	=F35-E35								한국투자ACE11월만기자동연장회사채(AA-이상)액티브증권상장지수	975.41336752	939.38172899	=IF(T35="","",(V35-U35))		한국투자베이직일반사모증권투자신탁133호(채권형)	600	600	=IF(Y35="","",(AA35-Z35))		한국투자법인용달러MMF(USD)(모)	3826.30710133	4488.75505414	=IF(AD35="","",(AF35-AE35))									
